stt,unnamed_1,so_bien_nhan,ngay_tiep_nhan,ngay_cap_gcn_attp,ten_co_so,dia_chi,phuong_xa,quan_huyen,ten_san_pham,tên_cơ_sở_sx,địa_chỉ_sx,phường_sx,quận_huyện_sx,so_ban_cong_bo,ngay_hoan_thanh,ket_qua,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
56,TT,,,2023-09-11 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,bot an dam humababy thit bo bi đo,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,56,2023-09-06,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
57,TT,,,2023-09-11 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,"bot an dam humababy vi gao sua, hanh nhan",CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,57,2023-09-06,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
58,TT,,2023-07-09,2023-09-19 00:00:00,chi nhanh cong ty co phan tap đoan dinh duong green viet nam,104/23 đuong so 18,binh hung hoa,binh tan,san pham dinh duong cong thuc cho tre tu 0-12 thang tuoi greengold colostrum,CHI NHÁNH CÔNG TY TNHH SUNBABY - XƯỞNG SẢN XUẤT,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,58,2023-09-12,,chi nhanh cong ty co phan tap đoan dinh duong green viet nam,104/23 đuong so 18,binh tan,binh hung hoa
59,TT,,2023-07-09,2023-09-19 00:00:00,chi nhanh cong ty co phan tap đoan dinh duong green viet nam,104/23 đuong so 18,binh hung hoa,binh tan,san pham dinh duong cong thuc cho tre tu 1-15 tuoi greengold dighest,CHI NHÁNH CÔNG TY TNHH SUNBABY - XƯỞNG SẢN XUẤT,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,59,2023-09-12,,chi nhanh cong ty co phan tap đoan dinh duong green viet nam,104/23 đuong so 18,binh tan,binh hung hoa
60,TT,,2023-07-09,2023-09-19 00:00:00,chi nhanh cong ty co phan tap đoan dinh duong green viet nam,104/23 đuong so 18,binh hung hoa,binh tan,san pham dinh duong cong thuc cho tre tu 1-18 tuoi greengold iq grow,CHI NHÁNH CÔNG TY TNHH SUNBABY - XƯỞNG SẢN XUẤT,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,60,2023-09-12,,chi nhanh cong ty co phan tap đoan dinh duong green viet nam,104/23 đuong so 18,binh tan,binh hung hoa
61,TT,,2023-07-09,2023-09-19 00:00:00,chi nhanh cong ty co phan tap đoan dinh duong green viet nam,104/23 đuong so 18,binh hung hoa,binh tan,san pham dinh duong cong thuc cho tre tu 1 tuoi tro len greengold weight gain,CHI NHÁNH CÔNG TY TNHH SUNBABY - XƯỞNG SẢN XUẤT,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,61,2023-09-12,,chi nhanh cong ty co phan tap đoan dinh duong green viet nam,104/23 đuong so 18,binh tan,binh hung hoa
62,BĐ,,2023-07-09,2023-09-19 00:00:00,cong ty co phan sai gon food,"lo c24-24b/ii, c25/ii, đuong 2f, khu cong nghiep vinh loc",vinh loc a,binh chanh,"thuc pham dinh duong: chao tuoi bo, đau ha lan & ca rot",CÔNG TY CỔ PHẦN SÀI GÒN FOOD - CHI NHÁNH VĨNH LỘC,"Lô C13 - C14/II, Đường 2F, Khu công nghiệp Vĩnh Lộc",Vĩnh Lộc A,Bình Chánh,62,2023-09-12,,cong ty co phan sai gon food,"lo c24-24b/ii, c25/ii, đuong 2f, khu cong nghiep vinh loc",binh chanh,vinh loc a
63,BĐ,,2023-07-09,2023-09-19 00:00:00,cong ty co phan sai gon food,"lo c24-24b/ii, c25/ii, đuong 2f, khu cong nghiep vinh loc",vinh loc a,binh chanh,thuc pham dinh duong: chao tuoi ca hoi & cai bo xoi,CÔNG TY CỔ PHẦN SÀI GÒN FOOD - CHI NHÁNH VĨNH LỘC,"Lô C13 - C14/II, Đường 2F, Khu công nghiệp Vĩnh Lộc",Vĩnh Lộc A,Bình Chánh,63,2023-09-12,,cong ty co phan sai gon food,"lo c24-24b/ii, c25/ii, đuong 2f, khu cong nghiep vinh loc",binh chanh,vinh loc a
64,TT,,2023-08-09,2023-09-19 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,bot an dam humababy thit heo bo xoi,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,64,2023-09-14,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
65,,,,2023-10-03 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong grand grow iq danh cho tre tu 1 tuoi tro len,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,65,2023-09-27,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
66,,,,2023-10-04 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc cho tre tu 0-12 thang tuoi mejiko gold baby,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,66,2023-09-27,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
67,,,,2023-10-04 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc cho tre tu 6-36 thang tuoi mejiko gold kids,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,67,2023-09-27,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
68,,,,2023-10-04 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc cho tre tu 1-15 tuoi mejiko gold pedia,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,68,2023-09-27,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
69,,,,2023-10-04 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc cho tre tu 1-18 tuoi mejiko gold grow iq,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,69,2023-09-27,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
70,,,,2023-10-04 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc cho tre tu 1 tuoi tro len mejiko gold weight gain,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,70,2023-09-27,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
71,,,,2023-10-24 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong dhagold baby cho tre tu 0-12 thang tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,71,2023-10-19,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
72,,,,2023-10-24 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong sakura baby cho tre tu 0-12 thang tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,72,2023-10-19,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
73,,,,2023-10-25 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong sakura kao iq cho tre tu 1-12 tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,73,2023-10-19,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
74,,,,2023-10-25 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong sakura digest cho tre tu 6 thang tuoi - 6 tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,74,2023-10-19,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
75,,,,2023-10-25 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong sakura gain cho tre tu 1 tuoi tro len,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,75,2023-10-19,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
76,,,,2023-10-25 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong sakura pedia cho tre tu 1-10 tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,76,2023-10-19,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
77,,,2023-11-10,2023-10-20 00:00:00,cong ty tnhh duoc nutriplus,114/20 đuong so 18,binh hung hoa,binh tan,san pham dinh duong cong thuc cho tre tu 1 tuoi tro len stable pedia iq,CHI NHÁNH CÔNG TY TNHH SUNBABY - XƯỞNG SẢN XUẤT,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,77,2023-10-24,,cong ty tnhh duoc nutriplus,114/20 đuong so 18,binh tan,binh hung hoa
78,,,,2023-11-02 00:00:00,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,12,go vap,san pham dinh duong danh cho tre tu 1 - 10 tuoi goodlife grow plus,HỢP TÁC XÃ XUẤT NHẬP KHẨU QUỐC TẾ AVI ,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",78,2023-10-27,,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,go vap,12
79,,,,2023-11-02 00:00:00,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,12,go vap,san pham dinh duong danh cho tre tu 1 - 10 tuoi goodlife pedia plus,HỢP TÁC XÃ XUẤT NHẬP KHẨU QUỐC TẾ AVI ,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",79,2023-10-27,,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,go vap,12
80,,,,2023-11-02 00:00:00,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,12,go vap,san pham dinh duong danh cho tre tu 0 - 12 thang tuoi goodlife new born,HỢP TÁC XÃ XUẤT NHẬP KHẨU QUỐC TẾ AVI ,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",80,2023-10-27,,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,go vap,12
81,,,2023-03-11,2023-11-14 00:00:00,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,thoi an,12,san pham dinh duong nutrisure cao iq,CHI NHÁNH CÔNG TY TNHH V H CT,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,81,2023-11-07,,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,12,thoi an
82,,,2023-03-11,2023-11-15 00:00:00,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,12,go vap,san pham dinh duong danh cho tre tu 0 - 12 tuoi pharmakids baby,HỢP TÁC XÃ XUẤT NHẬP KHẨU QUỐC TẾ AVI ,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",82,2023-11-08,,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,go vap,12
83,,,2023-03-11,2023-11-15 00:00:00,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,12,go vap,san pham dinh duong danh cho tre tu 1 - 10 tuoi pharmakids pedia,HỢP TÁC XÃ XUẤT NHẬP KHẨU QUỐC TẾ AVI ,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",83,2023-11-08,,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,go vap,12
84,,,2023-03-11,2023-11-15 00:00:00,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,12,go vap,san pham dinh duong danh cho tre tu 1 - 10 tuoi pharmakids grow,HỢP TÁC XÃ XUẤT NHẬP KHẨU QUỐC TẾ AVI ,"116, ấp Hưng Hòa",Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",84,2023-11-08,,cong ty tnhh xuat nhap khau pharma kids,160/43 phan huy ich,go vap,12
85,,,2023-09-11,2023-11-21 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong danh cho tre tu 0 đen 12 thang tuoi babikids a+ baby,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,85,2023-11-14,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
86,,,2023-09-11,2023-11-21 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc sumoki k2+d3 colostrum baby danh cho tre tu 0-12 thang tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,86,2023-11-14,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
87,,,,2023-12-04 00:00:00,cong ty tnhh che bien thuc pham viet y,17a tran van can,tan thoi hoa,tan phu,san pham dinh duong cong thuc cho tre tu 0-12 thang tuoi nutrition-hmo colostrum,CÔNG TY TNHH CHẾ BIẾN THỰC PHẨM VIỆT Ý  - XƯỞNG SẢN XUẤT,"364C, Đường Nguyễn Thị Lắng",Phước Vĩnh An,Củ Chi,87,2023-11-29,,cong ty tnhh che bien thuc pham viet y,17a tran van can,tan phu,tan thoi hoa
88,,,,2023-12-07 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc grow iq plus 3+ danh cho tre tu 1-15 tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,88,2023-11-30,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
89,,,,2023-12-07 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc merrit 1+ danh cho tre tu 6 thang tuoi tro len,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,89,2023-11-30,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
90,,,,2023-12-07 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc merrit 3 danh cho tre tu 1 tuoi tro len,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,90,2023-11-30,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
91,,,,2023-12-07 00:00:00,cong ty co phan dinh duong quoc te pharma asia,207 nhi binh 3,nhi binh,hoc mon,san pham dinh duong cho tre tu 1 - 10 tuoi omega 3 pedia smart,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ PHARMA ASIA,207 Nhị Bình 3,Nhị Bình,Hóc Môn,91,2023-11-30,,cong ty co phan dinh duong quoc te pharma asia,207 nhi binh 3,hoc mon,nhi binh
92,,,,2023-12-06 00:00:00,cong ty tnhh dinh duong asia,"tang 1, bcons tower 2, 42/1 ung van khiem",25,binh thanh,san pham dinh duong danh cho tre tu 0-12 thang tuoi asia nutri baby gold 1,CÔNG TY TNHH TRÍ TUỆ ASIA,Đường TL 286,Yên Phụ,Yên Phong - tỉnh Bắc Ninh,92,2023-12-01,,cong ty tnhh dinh duong asia,"tang 1, bcons tower 2, 42/1 ung van khiem",binh thanh,25
93,,,,2023-12-07 00:00:00,cong ty tnhh dinh duong asia,"tang 1, bcons tower 2, 42/1 ung van khiem",25,binh thanh,san pham dinh duong danh cho tre tu 6-36 thang tuoi asia nutri kids gold 2,CÔNG TY TNHH TRÍ TUỆ ASIA,Đường TL 286,Yên Phụ,Yên Phong - tỉnh Bắc Ninh,93,2023-12-01,,cong ty tnhh dinh duong asia,"tang 1, bcons tower 2, 42/1 ung van khiem",binh thanh,25
94,,,,2023-12-07 00:00:00,cong ty tnhh dinh duong asia,"tang 1, bcons tower 2, 42/1 ung van khiem",25,binh thanh,san pham dinh duong danh cho tre tu 1-10 tuoi asia nutri pedia gold 3,CÔNG TY TNHH TRÍ TUỆ ASIA,Đường TL 286,Yên Phụ,Yên Phong - tỉnh Bắc Ninh,94,2023-12-01,,cong ty tnhh dinh duong asia,"tang 1, bcons tower 2, 42/1 ung van khiem",binh thanh,25
95,,,,2023-12-07 00:00:00,cong ty tnhh dinh duong asia,"tang 1, bcons tower 2, 42/1 ung van khiem",25,binh thanh,san pham dinh duong danh cho tre tu 1-15 tuoi asia nutri kao iq 4,CÔNG TY TNHH TRÍ TUỆ ASIA,Đường TL 286,Yên Phụ,Yên Phong - tỉnh Bắc Ninh,95,2023-12-01,,cong ty tnhh dinh duong asia,"tang 1, bcons tower 2, 42/1 ung van khiem",binh thanh,25
96,,,,2023-12-07 00:00:00,cong ty co phan dinh duong quoc te pharma asia,207 nhi binh 3,nhi binh,hoc mon,san pham dinh duong cho tre tu 1 - 10 tuoi nano pedia smart,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ PHARMA ASIA,207 Nhị Bình 3,Nhị Bình,Hóc Môn,96,2023-12-04,,cong ty co phan dinh duong quoc te pharma asia,207 nhi binh 3,hoc mon,nhi binh
97,,,,2023-12-07 00:00:00,cong ty co phan dinh duong quoc te pharma asia,207 nhi binh 3,nhi binh,hoc mon,san pham dinh duong cho tre tu 1 - 15 tuoi nano cao iq,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ PHARMA ASIA,207 Nhị Bình 3,Nhị Bình,Hóc Môn,97,2023-12-04,,cong ty co phan dinh duong quoc te pharma asia,207 nhi binh 3,hoc mon,nhi binh
98,,,,2023-12-07 00:00:00,cong ty co phan dinh duong quoc te pharma asia,207 nhi binh 3,nhi binh,hoc mon,san pham dinh duong cho tre tu 1 - 15 tuoi omega 3 cao iq,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ PHARMA ASIA,207 Nhị Bình 3,Nhị Bình,Hóc Môn,98,2023-12-04,,cong ty co phan dinh duong quoc te pharma asia,207 nhi binh 3,hoc mon,nhi binh
99,,,,2023-12-11 00:00:00,cong ty tnhh xuat nhap khau dairyfood,"17 nguyen van cu, khu pho 4",tan tao a,binh tan,san pham dinh duong cong thuc danh cho tre tu 1 tuoi tro len sukumilk gold iq plus,CÔNG TY TNHH XUẤT NHẬP KHẨU DẢIYFOOD,"17 Nguyễn Văn Cừ, Khu phố 4",Tân Tạo A,Bình Tân,99,2023-12-05,,cong ty tnhh xuat nhap khau dairyfood,"17 nguyen van cu, khu pho 4",binh tan,tan tao a
100,,,,2023-12-11 00:00:00,cong ty tnhh xuat nhap khau dairyfood,"17 nguyen van cu, khu pho 4",tan tao a,binh tan,san pham dinh duong cong thuc danh cho tre tu 1 tuoi tro len sukumilk gold grow plus,CÔNG TY TNHH XUẤT NHẬP KHẨU DẢIYFOOD,"17 Nguyễn Văn Cừ, Khu phố 4",Tân Tạo A,Bình Tân,100,2023-12-05,,cong ty tnhh xuat nhap khau dairyfood,"17 nguyen van cu, khu pho 4",binh tan,tan tao a
101,,,2023-11-12,2023-12-21 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc sure iq pedia danh cho tre tu 1-10 tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,101,2023-12-14,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
102,,,2023-11-12,2023-12-21 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc sure iq baby danh cho tre tu 0-12 thang tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,102,2023-12-14,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
103,,,2023-11-12,2023-12-21 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc sure iq kids gold danh cho tre tu 6-36 thang tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,103,2023-12-14,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
104,,,,2023-12-25 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc sure iq grow iq danh cho tre tu 1-15 tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,104,2023-12-19,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
105,,,,2023-12-25 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc colos a+ baby danh cho tre tu 0-12 thang tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,105,2023-12-19,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
106,,,,2023-12-25 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc ponlait infnant danh cho tre tu 0-12 thang tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,106,2023-12-19,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
107,,,,2023-12-25 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc ponlait diest danh cho tre tu 6-36 thang tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,107,2023-12-19,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
108,,,,2023-12-25 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc colos a+ kids gold danh cho tre tu 6-36 thang tuoi,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,108,2023-12-19,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
