stt,unnamed_1,lĩnh_vực,so_bien_nhan,ngày_tiếp_nhận,han_tra,kêt_qua,ten_co_so,ten_chu_co_so,dia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_dau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
1588,,NN,h29.24-230410-0280,2023-04-14,2023-05-11,,cong ty tnhh san xuat thuong mai ca phe gia vien,,"so 106 đuong tl41, khu pho 1",thanh loc,12,0312639546,"rang, xay, đong goi ca phe; đong goi tra",1588,2023-04-25,,,,,,cong ty tnhh san xuat thuong mai ca phe gia vien,"so 106 đuong tl41, khu pho 1",12,thanh loc
1589,,NN,h29.24-230414-0222,2023-04-17,2023-05-12,,ho kinh doanh nguyen van hung,,"so 25b, đuong so 106, ap 10",tan thanh đong,cu chi,41R8008771,"che bien top mo, da bi",1589,2023-04-25,,,,,,ho kinh doanh nguyen van hung,"so 25b, đuong so 106, ap 10",cu chi,tan thanh đong
1590,,YT,h29.24-230414-0218,2023-04-17,2023-05-19,,ho kinh doanh le hay,,"so 192, tinh lo 7, ap binh ha đong",thai my,cu chi,,san xuat nuoc uong đong binh,1590,2023-04-25,,,,,,ho kinh doanh le hay,"so 192, tinh lo 7, ap binh ha đong",cu chi,thai my
1591,,CT,h29.24-230421-0062,2023-04-25,2023-04-27,Cấp đổi,đia điem kinh doanh cong ty tnhh mot thanh vien san may - cua hang my market - lavila,tran thi minh trang,"52-54 đuong so 1 khu nha o phuoc kien, ap 4",phuoc kien,nha be,,ban le nhom san pham theo danh muc,1591,2023-04-26,4788.0,2022-09-19,,,,đia điem kinh doanh cong ty tnhh mot thanh vien san may - cua hang my market - lavila,"52-54 đuong so 1 khu nha o phuoc kien, ap 4",nha be,phuoc kien
1592,,CT,h29.24-230321-0111,2023-04-13,2023-05-16,,đia điem kinh doanh winmart+ hcm 15 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,"so 022, đuong tan đa",11,5,,ban le nhom san pham theo danh muc,1592,2023-04-26,,,,,,đia điem kinh doanh winmart+ hcm 15 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,"so 022, đuong tan đa",5,11
1593,,CT,h29.24-230410-0060,2023-04-14,2023-05-17,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,tran quang thuan,367a phan van tri,11,binh thanh,,ban le nhom san pham theo danh muc,1593,2023-04-26,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,367a phan van tri,binh thanh,11
1594,,CT,h29.24-230410-0047,2023-04-14,2023-05-17,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,tran quang thuan,49-51 phan chu trinh,14,binh thanh,,ban le nhom san pham theo danh muc,1594,2023-04-26,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,49-51 phan chu trinh,binh thanh,14
1595,,CT,h29.24-230410-0054,2023-04-14,2023-05-17,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,tran quang thuan,184 ung van khiem,25,binh thanh,,ban le nhom san pham theo danh muc,1595,2023-04-26,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,184 ung van khiem,binh thanh,25
1596,,YT,h29.24-230412-0221,2023-04-14,2023-05-18,,đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,vo thi phi phuong,171 nguyen xi,26,binh thanh,,kinh doanh dich vu an uong,1596,2023-04-26,,,,,,đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,171 nguyen xi,binh thanh,26
1597,,NN,h29.24-230411-0153,2023-04-14,2023-05-11,,ho kinh doanh uni coffee,,1f/72/10c binh loi,13,binh thanh,41O8046918,"rang, xay, đong goi ca phe",1597,2023-04-26,,,,,,ho kinh doanh uni coffee,1f/72/10c binh loi,binh thanh,13
1598,,NN,h29.24-230418-0058,2023-04-19,2023-05-16,,cong ty tnhh thuc pham dung phuong,,78 tran thai tong,15,tan binh,0317710111,"kinh doanh rau, cu, qua tuoi song",1598,2023-04-26,,,,,,cong ty tnhh thuc pham dung phuong,78 tran thai tong,tan binh,15
1599,,NN,h29.24-230411-0038,2023-04-14,2023-05-11,,cong ty tnhh thuong mai san xuat foodkids,,20/4b khu pho 2,thi tran hoc mon,hoc mon,0317634037,"kinh doanh thit, thuy san, rau, cu, qua, trung",1599,2023-04-26,,,,,,cong ty tnhh thuong mai san xuat foodkids,20/4b khu pho 2,hoc mon,thi tran hoc mon
1600,,YT,h29.24-230412-0212,2023-04-14,2023-05-18,,"đia điem kinh doanh (cua hang) tai so 194d, đuong pasteur, phuong 6, quan 3, thanh pho ho chi minh",lam hong nguyen,"194d, đuong pasteur",vo thi sau,3,,kinh doanh dich vu an uong,1600,2023-04-26,,,,,,"đia điem kinh doanh (cua hang) tai so 194d, đuong pasteur, phuong 6, quan 3, thanh pho ho chi minh","194d, đuong pasteur",3,vo thi sau
1601,,YT,h29.24-230414-0048,2023-04-20,2023-05-24,,đia điem kinh doanh cong ty co phan binh minh toan cau – cua hang breadtalk sun avenue,tran uyen vy,"sav.1-00.05 tai tang tret cua thap 1, 28 đai lo mai chi tho",an phu,thu đuc,,kinh doanh dich vu an uong,1601,2023-04-26,,,,,,đia điem kinh doanh cong ty co phan binh minh toan cau – cua hang breadtalk sun avenue,"sav.1-00.05 tai tang tret cua thap 1, 28 đai lo mai chi tho",thu đuc,an phu
1602,,YT,h29.24-230411-0037,2023-04-13,2023-05-16,,nha hang coco ichibanya ly tu trong,le van may,"lau 1, so 13 đuong ly tu trong",ben nghe,1,,kinh doanh dich vu an uong,1602,2023-04-26,,,,,,nha hang coco ichibanya ly tu trong,"lau 1, so 13 đuong ly tu trong",1,ben nghe
1603,,YT,h29.24-230411-0068,2023-04-13,2023-05-17,,cua hang king coffee premium tran hung đao - chi nhanh cong ty tnhh king coffee tai thanh pho ho chi minh,le thi cam tu,457a tran hung đao,cau kho,1,,kinh doanh dich vu an uong,1603,2023-04-26,,,,,,cua hang king coffee premium tran hung đao - chi nhanh cong ty tnhh king coffee tai thanh pho ho chi minh,457a tran hung đao,1,cau kho
1604,,YT,h29.24-230413-0114,2023-04-14,2023-05-18,,đia kiem kinh doanh 1 - cong ty tnhh thuc pham quoc te banh mi huynh hoa,le kim hoa,26 le thi rieng,ben thanh,1,,kinh doanh dich vu an uong,1604,2023-04-26,,,,,,đia kiem kinh doanh 1 - cong ty tnhh thuc pham quoc te banh mi huynh hoa,26 le thi rieng,1,ben thanh
1605,,YT,h29.24-230413-0127,2023-04-14,2023-05-18,,đia kiem kinh doanh - cong ty tnhh thuc pham quoc te banh mi huynh hoa,le kim hoa,32 le thi rieng,ben thanh,1,,kinh doanh dich vu an uong,1605,2023-04-26,,,,,,đia kiem kinh doanh - cong ty tnhh thuc pham quoc te banh mi huynh hoa,32 le thi rieng,1,ben thanh
1606,,NN,h29.24-221223-0008,2023-04-12,2023-05-09,,cong ty tnhh nong lam thuy san nam trung hieu,,"tsn-004 cho đau moi nong san thuc pham binh đien, đuong vao trung tam thuong mai binh đien",7,8,,kinh doanh cu cac loai,1606,2023-04-26,,,,,,cong ty tnhh nong lam thuy san nam trung hieu,"tsn-004 cho đau moi nong san thuc pham binh đien, đuong vao trung tam thuong mai binh đien",8,7
1607,,YT,h29.24-230404-0123,2023-04-14,2023-05-18,,cong ty tnhh mot thanh vien otoulouse,"robin, stephane, jacques mouquet - richelet",525/33 to hien thanh,14,10,,kinh doanh dich vu an uong,1607,2023-04-26,,,,,,cong ty tnhh mot thanh vien otoulouse,525/33 to hien thanh,10,14
1608,,YT,h29.24-230413-0107,2023-04-18,2023-05-22,,chi nhanh cong ty co phan kizuna,nguyen tuong vy,"fm-19b tang ham co.opxtra su van hanh, trung tam thuong mai van hanh, so 11 su van hanh",12,10,,kinh doanh dich vu an uong,1608,2023-04-26,,,,,,chi nhanh cong ty co phan kizuna,"fm-19b tang ham co.opxtra su van hanh, trung tam thuong mai van hanh, so 11 su van hanh",10,12
1609,,YT,h29.24-230329-0176,2023-04-14,2023-05-18,,đia điem kinh doanh phuc long hcm 481 - ks - cong ty co phan phuc long heritage,pham thi thu huong,606/144-606/146 ba thang hai,14,10,,kinh doanh dich vu an uong,1609,2023-04-26,,,,,,đia điem kinh doanh phuc long hcm 481 - ks - cong ty co phan phuc long heritage,606/144-606/146 ba thang hai,10,14
1610,,NN,h29.24-230412-0031,2023-04-14,2023-05-11,,ho kinh doanh kien an,,110 ben van đon,9,4,41D8008574,che bien pa te,1610,2023-04-26,,,,,,ho kinh doanh kien an,110 ben van đon,4,9
1611,,YT,h29.24-230414-0149,2023-04-18,2023-05-19,,cong ty tnhh godmother hospitality,đang gia huy,"tang 3, toa nha so 2-4-6 đong khoi",ben nghe,1,,kinh doanh dich vu an uong,1611,2023-04-26,,,,,,cong ty tnhh godmother hospitality,"tang 3, toa nha so 2-4-6 đong khoi",1,ben nghe
1612,,YT,h29.24-230412-0057,2023-04-14,2023-05-18,,cong ty tnhh san xuat thuong mai dich vu thien hiep phu,vo van quang,"766/10 quoc lo 13, khu pho 4",hiep binh phuoc,thu đuc,,"san xuat nuoc uong đong binh, đong chai",1612,2023-04-26,,,,,,cong ty tnhh san xuat thuong mai dich vu thien hiep phu,"766/10 quoc lo 13, khu pho 4",thu đuc,hiep binh phuoc
1613,,YT,h29.24-230412-0219,2023-04-14,2023-05-18,,đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,vo thi phi phuong,89 hiep binh,hiep binh chanh,thu đuc,,kinh doanh dich vu an uong,1613,2023-04-26,,,,,,đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,89 hiep binh,thu đuc,hiep binh chanh
1614,,NN,h29.24-230418-0069,2023-04-18,2023-05-15,,đia điem kinh doanh cong ty tnhh xuat nhap khau thuc pham tan nam long,,63/24 đuong so 11,truong tho,thu đuc,0316097929-00001,"pha cat, đong goi: thit heo, thit bo, thit ga",1614,2023-04-26,,,,,,đia điem kinh doanh cong ty tnhh xuat nhap khau thuc pham tan nam long,63/24 đuong so 11,thu đuc,truong tho
1615,,YT,h29.24-230410-0056,2023-04-18,2023-05-22,,đia điem kinh doanh trung tam thuong mai giga mall - cong ty trach nhiem huu han zenso viet nam,tomoari hirata,"b1-08 tang b1, tttm gigamall, 240-242 đuong pham van đong",hiep binh chanh,thu đuc,,kinh doanh dich vu an uong,1615,2023-04-26,,,,,,đia điem kinh doanh trung tam thuong mai giga mall - cong ty trach nhiem huu han zenso viet nam,"b1-08 tang b1, tttm gigamall, 240-242 đuong pham van đong",thu đuc,hiep binh chanh
1616,,YT,h29.24-230418-0183,2023-04-19,2023-05-22,,cong ty tnhh linh.company,tran my linh,75 le quoc hung,13,4,,kinh doanh dich vu an uong,1616,2023-04-27,,,,,,cong ty tnhh linh.company,75 le quoc hung,4,13
1617,,CT,h29.24-230419-0155,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 438 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,48-49 ap hau lan,ba điem,hoc mon,,ban le nhom san pham theo danh muc,1617,2023-04-27,,,,,,đia điem kinh doanh winmart+ hcm 438 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,48-49 ap hau lan,hoc mon,ba điem
1618,,YT,h29.24-230419-0215,2023-04-20,2023-05-24,,ho kinh doanh co so nguyen van thanh,nguyen van thanh,"80/7b đuong xuan thoi son 33, ap 4",xuan thoi son,hoc mon,,san xuat nuoc uong đong binh,1618,2023-04-27,,,,,,ho kinh doanh co so nguyen van thanh,"80/7b đuong xuan thoi son 33, ap 4",hoc mon,xuan thoi son
1619,,CT,h29.24-230222-0008,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 390 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,23 nguyen huu cau,trung chanh,hoc mon,,ban le nhom san pham theo danh muc,1619,2023-04-27,,,,,,đia điem kinh doanh winmart+ hcm 390 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,23 nguyen huu cau,hoc mon,trung chanh
1620,,NN,h29.24-230414-0200,2023-04-20,2023-05-17,,cong ty tnhh thuong mai dich vu ky thuat dream coffee,,270/1 phan đinh phung,1,phu nhuan,0316543612,"rang, xay, đong goi ca phe",1620,2023-04-27,,,,,,cong ty tnhh thuong mai dich vu ky thuat dream coffee,270/1 phan đinh phung,phu nhuan,1
1621,,CT,h29.24-230410-0050,2023-04-14,2023-05-17,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,tran quang thuan,512 nguyen van cong,3,go vap,,ban le nhom san pham theo danh muc,1621,2023-04-27,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,512 nguyen van cong,go vap,3
1622,,YT,h29.24-230331-0060,2023-04-18,2023-05-19,,đia điem kinh doanh so 7 - cong ty tnhh cloudeats vn,nguyen thanh nam,25 pham ngu lao,3,go vap,,kinh doanh dich vu an uong,1622,2023-04-27,,,,,,đia điem kinh doanh so 7 - cong ty tnhh cloudeats vn,25 pham ngu lao,go vap,3
1623,,NN,h29.24-230323-0013,2023-04-17,2023-05-12,,chi nhanh cong ty tnhh mtv apu food,,b12/10a/26 ap 2,vinh loc b,binh chanh,1101850319-001,"che bien gia vi (dang long, dang set); đong goi gia vi, ca phe",1623,2023-04-27,,,,,,chi nhanh cong ty tnhh mtv apu food,b12/10a/26 ap 2,binh chanh,vinh loc b
1624,,YT,h29.24-230418-0083,2023-04-20,2023-05-24,,đia điem kinh doanh cong ty tnhh đau tu xay dung san xuat thuong mai hong phuc,nguyen thi kim hong,02 nguyen thong,vo thi sau,3,,kinh doanh dich vu an uong,1624,2023-04-27,,,,,,đia điem kinh doanh cong ty tnhh đau tu xay dung san xuat thuong mai hong phuc,02 nguyen thong,3,vo thi sau
1625,,YT,h29.24-230418-0077,2023-04-20,2023-05-24,,chi nhanh cong ty tnhh avenue viet nam - white lotus,pham nguyen đoan trang,76e/2 pham viet chanh,19,binh thanh,,kinh doanh dich vu an uong,1625,2023-04-27,,,,,,chi nhanh cong ty tnhh avenue viet nam - white lotus,76e/2 pham viet chanh,binh thanh,19
1626,,CT,h29.24-230413-0110,2023-04-14,2023-05-18,,cong ty tnhh thuong mai dich vu my đuc binh đien,vo thi thuy dung,84 cong quynh,pham ngu lao,1,,ban le nhom san pham theo danh muc,1626,2023-04-27,,,,,,cong ty tnhh thuong mai dich vu my đuc binh đien,84 cong quynh,1,pham ngu lao
1627,,"CT, YT",h29.24-230413-0228,2023-04-17,2023-05-19,,cua hang tien loi ministop so 204 - đia điem kinh doanh cong ty tnhh mininstop viet nam,hoang thu huong,55 thach thi thanh,tan đinh,1,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,1627,2023-04-27,,,,,,cua hang tien loi ministop so 204 - đia điem kinh doanh cong ty tnhh mininstop viet nam,55 thach thi thanh,1,tan đinh
1628,,YT,h29.24-230414-0234,2023-04-17,2023-05-19,,cong ty tnhh all nighter,bui thanh hung,36 huynh thuc khang,ben nghe,1,,kinh doanh dich vu an uong,1628,2023-04-27,,,,,,cong ty tnhh all nighter,36 huynh thuc khang,1,ben nghe
1629,,YT,h29.24-230414-0223,2023-04-19,2023-05-22,,cong ty tnhh the meeting,phung thi chau,8a/e14 thai van lung,ben nghe,1,,kinh doanh dich vu an uong,1629,2023-04-27,,,,,,cong ty tnhh the meeting,8a/e14 thai van lung,1,ben nghe
1630,,YT,h29.24-230411-0031,2023-04-19,2023-05-22,,chi nhanh huynh tan phat - cong ty tnhh đai moc.vn,tae hyunggeun,"gf-01, tang tret, co.op mart huynh tan phat, 1362 huynh tan phat, khu pho 1",phu my,7,,kinh doanh dich vu an uong,1630,2023-04-27,,,,,,chi nhanh huynh tan phat - cong ty tnhh đai moc.vn,"gf-01, tang tret, co.op mart huynh tan phat, 1362 huynh tan phat, khu pho 1",7,phu my
1631,,YT,h29.24-230418-0180,2023-04-19,2023-05-22,,đia điem kinh doanh cong ty tnhh asia europe vietnam,bernesi mauro,04 đuong my phu 2c,tan phu,7,,kinh doanh dich vu an uong,1631,2023-04-27,,,,,,đia điem kinh doanh cong ty tnhh asia europe vietnam,04 đuong my phu 2c,7,tan phu
1632,,YT,h29.24-230413-0096,2023-04-20,2023-05-24,,đia điem kinh doanh sonion cong ty tnhh thuong mai - dich vu hoa mai,vo quang bao,lo i3-9 khu cong nghe cao,tan phu,thu đuc,,kinh doanh dich vu an uong,1632,2023-04-27,,,,,,đia điem kinh doanh sonion cong ty tnhh thuong mai - dich vu hoa mai,lo i3-9 khu cong nghe cao,thu đuc,tan phu
1633,,"CT, YT",h29.24-230419-0030,2023-04-21,2023-05-24,,cua hang so 276 - cong ty tnhh vong tron đo,cheung yiu kwong,144-146 lam van ben,tan quy,7,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,1633,2023-04-28,,,,,,cua hang so 276 - cong ty tnhh vong tron đo,144-146 lam van ben,7,tan quy
1634,,"CT, YT",h29.24-230419-0040,2023-04-21,2023-05-24,,đia điem kinh doanh cua hang so 168 - cong ty tnhh vong tron đo,cheung yiu kwong,"621 nguyen thi thap, khu pho 1",tan hung,7,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,1634,2023-04-28,,,,,,đia điem kinh doanh cua hang so 168 - cong ty tnhh vong tron đo,"621 nguyen thi thap, khu pho 1",7,tan hung
1635,,"CT, YT",h29.24-230419-0055,2023-04-21,2023-05-24,,đia điem kinh doanh cua hang so 55 - cong ty tnhh vong tron đo,cheung yiu kwong,so 199-201 đuong so 17,tan quy,7,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,1635,2023-04-28,,,,,,đia điem kinh doanh cua hang so 55 - cong ty tnhh vong tron đo,so 199-201 đuong so 17,7,tan quy
1636,,YT,h29.24-230420-0222,2023-04-21,2023-05-25,,đia điem kinh doanh cong ty co phan thuong mai cc – cua hang cheese coffee so 5,nguyen lam quoc trung,305a-307 hong bang,11,5,,kinh doanh dich vu an uong,1636,2023-04-28,,,,,,đia điem kinh doanh cong ty co phan thuong mai cc – cua hang cheese coffee so 5,305a-307 hong bang,5,11
1637,,YT,h29.24-230414-0045,2023-04-19,2023-05-23,,cong ty tnhh octo tapas viet nam,đang gia huy,"tang 2, 75-77 ho tung mau",ben nghe,1,,kinh doanh dich vu an uong,1637,2023-04-28,,,,,,cong ty tnhh octo tapas viet nam,"tang 2, 75-77 ho tung mau",1,ben nghe
1638,,YT,h29.24-230417-0163,2023-04-20,2023-05-24,,khach san cuu long (majestic),phung van my,01 đong khoi,ben nghe,1,,kinh doanh dich vu an uong,1638,2023-04-28,,,,,,khach san cuu long (majestic),01 đong khoi,1,ben nghe
1639,,YT,h29.24-230418-0.056,2023-04-19,2023-05-22,,đia điem kinh doanh 01 - cong ty tnhh huynh nhat,huynh van tien,532c ly thai to,10,10,,kinh doanh dich vu an uong,1639,2023-04-28,,,,,,đia điem kinh doanh 01 - cong ty tnhh huynh nhat,532c ly thai to,10,10
1640,,YT,h29.24-230419-0248,2023-04-21,2023-05-24,,cong ty tnhh cafe tung duong,pham ngoc lam,71 truong son,15,10,,kinh doanh dich vu an uong,1640,2023-04-28,,,,,,cong ty tnhh cafe tung duong,71 truong son,10,15
1641,,NN,h29.24-230418-0171,2023-04-20,2023-05-17,,ho kinh doanh hoa binh iii,,a12/380a,phong phu,binh chanh,41T8019498,che bien: trung vit muoi,1641,2023-04-28,,,,,,ho kinh doanh hoa binh iii,a12/380a,binh chanh,phong phu
1642,,NN,h29.24-230417-0034,2023-04-19,2023-05-16,,cong ty tnhh san xuat thuong mai dich vu viet thien,,132/6 đuong thanh loc 29,thanh loc,12,0305693542,"rang, xay, đong goi ca phe",1642,2023-04-28,,,,,,cong ty tnhh san xuat thuong mai dich vu viet thien,132/6 đuong thanh loc 29,12,thanh loc
1643,,CT,h29.24-230215-0036,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 375 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,"1.02, 1.03 va 2.03, 2.04 tang 1+2, chung cu hoa phuong, 34/1a quoc lo 1a",thoi an,12,,ban le nhom san pham theo danh muc,1643,2023-04-28,,,,,,đia điem kinh doanh winmart+ hcm 375 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,"1.02, 1.03 va 2.03, 2.04 tang 1+2, chung cu hoa phuong, 34/1a quoc lo 1a",12,thoi an
1644,,CT,h29.24-230216-0019,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 39 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,"so 2, tang tret, block a, chung cu tin phong, 36/38 đuong tan thoi nhat 8",tan thoi nhat,12,,ban le nhom san pham theo danh muc,1644,2023-04-28,,,,,,đia điem kinh doanh winmart+ hcm 39 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,"so 2, tang tret, block a, chung cu tin phong, 36/38 đuong tan thoi nhat 8",12,tan thoi nhat
1645,,CT,h29.24-230222-0001,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 35- chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,"can ho so tm.08, toa nha green nest 1, chung cu tecco tower tham luong, so 287 phan van hon",tan thoi nhat,12,,ban le nhom san pham theo danh muc,1645,2023-04-28,,,,,,đia điem kinh doanh winmart+ hcm 35- chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,"can ho so tm.08, toa nha green nest 1, chung cu tecco tower tham luong, so 287 phan van hon",12,tan thoi nhat
1646,,CT,h29.24-230223-0039,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 442 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,340 tran thi nam,tan chanh hiep,12,,ban le nhom san pham theo danh muc,1646,2023-04-28,,,,,,đia điem kinh doanh winmart+ hcm 442 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,340 tran thi nam,12,tan chanh hiep
1647,,YT,h29.24-230417-0265,2023-04-20,2023-05-24,,cong ty tnhh mot thanh vien nha hang quan nem,nguyen hai nam,15e nguyen thi minh khai,ben nghe,1,,kinh doanh dich vu an uong,1647,2023-04-28,,,,,,cong ty tnhh mot thanh vien nha hang quan nem,15e nguyen thi minh khai,1,ben nghe
1648,,YT,h29.24-230417-0141,2023-04-20,2023-05-24,,đia điem kinh doanh cong ty tnhh đau tu thuong mai loc thinh,huynh ngoc tu,"tang tret, so 1 đong khoi",ben nghe,1,,kinh doanh dich vu an uong,1648,2023-04-28,,,,,,đia điem kinh doanh cong ty tnhh đau tu thuong mai loc thinh,"tang tret, so 1 đong khoi",1,ben nghe
1649,,CT,h29.24-230215-0040,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 363 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,112/6 tan chanh hiep 36,tan chanh hiep,12,,ban le nhom san pham theo danh muc,1649,2023-04-28,,,,,,đia điem kinh doanh winmart+ hcm 363 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,112/6 tan chanh hiep 36,12,tan chanh hiep
1650,,YT,h29.24-230331-0058,2023-04-18,2023-05-19,,đia điem kinh doanh so 6 - cong ty tnhh cloudeats vn,tran thi minh thu,so 80 nguyen son,phu tho hoa,tan phu,,kinh doanh dich vu an uong,1650,2023-05-04,,,,,,đia điem kinh doanh so 6 - cong ty tnhh cloudeats vn,so 80 nguyen son,tan phu,phu tho hoa
1651,,CT,h29.24-230215-0045,2023-04-20,2023-05-23,,đia điem kinh doanh winmart+ hcm 359 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,48 lieu binh huong,tan thong hoi,cu chi,,ban le nhom san pham theo danh muc,1651,2023-05-04,,,,,,đia điem kinh doanh winmart+ hcm 359 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,48 lieu binh huong,cu chi,tan thong hoi
1652,,CT,h29.24-230224-0032,2023-04-20,2023-05-23,,đia điem kinh doanh winmart+ hcm 387 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,309 nguyen thi ranh,trung lap ha,cu chi,,ban le nhom san pham theo danh muc,1652,2023-05-04,,,,,,đia điem kinh doanh winmart+ hcm 387 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,309 nguyen thi ranh,cu chi,trung lap ha
1653,,YT,h29.24-230420-0039,2023-04-20,2023-05-23,,ho kinh doanh nuoc uong ngoc quang,pham ngoc quang,173/23/105 khuong viet,phu trung,tan phu,,san xuat nuoc uong đong binh,1653,2023-05-04,,,,,,ho kinh doanh nuoc uong ngoc quang,173/23/105 khuong viet,tan phu,phu trung
1654,,CT,h29.24-230223-0041,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 370 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,163 nguyen thi kieu,thoi an,12,,ban le nhom san pham theo danh muc,1654,2023-05-04,,,,,,đia điem kinh doanh winmart+ hcm 370 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,163 nguyen thi kieu,12,thoi an
1655,,CT,h29.24-230224-0033,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 404 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,34 tan thoi nhat 21,tan thoi nhat,12,,ban le nhom san pham theo danh muc,1655,2023-05-04,,,,,,đia điem kinh doanh winmart+ hcm 404 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,34 tan thoi nhat 21,12,tan thoi nhat
1656,,CT,h29.24-230224-0034,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 406 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,109 ha đac,trung my tay,12,,ban le nhom san pham theo danh muc,1656,2023-05-04,,,,,,đia điem kinh doanh winmart+ hcm 406 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,109 ha đac,12,trung my tay
