stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,tpphuongxathi_xathi_tran,quan_huyen,so_gcn_đkkd,loai_hinh_kinh_doanh,so_gcn_cap_moi_nhat,ngay_cap_moi_nhat,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap,chuyen_vien_thu_ly,tinh_thanh
503,,YT,4042227154.0,2023-02-01,2023-03-01,,NHÀ HÀNG PIZZA HUT - PHẠM VĂN CHIÊU,LIN KENG CHOR,82 Phạm Văn Chiêu,9,Gò Vấp,,Kinh doanh dịch vụ ăn uống,503,2023-02-06,,,,,,Ho Chi Minh
504,,YT,4042227238.0,2023-02-02,2023-03-01,,ĐỊA ĐIỂM KINH DOANH - CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG (TP HÀ NỘI) – NHÀ HÀNG KPUB,HÀ THÚC TÚ,"Tầng 1, Số 519A Nguyễn Thị Thập, khu phố 5",Tân Phong,7,,Kinh doanh dịch vụ ăn uống,504,2023-02-06,,,,,,Ho Chi Minh
505,,YT,4042227237.0,2023-02-02,2023-03-01,,ĐỊA ĐIỂM KINH DOANH - CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG (TP HÀ NỘI) – NHÀ HÀNG KICHI KICHI,HÀ THÚC TÚ,"Tầng trệt, Số 519A Nguyễn Thị Thập, khu phố 5",Tân Phong,7,,Kinh doanh dịch vụ ăn uống,505,2023-02-06,,,,,,Ho Chi Minh
506,,YT,,2023-01-30,2023-02-27,,ĐỊA ĐIỂM KINH DOANH PHÊ LA TRƯƠNG ĐỊNH Q3 - CÔNG TY CỔ PHẦN PHÊ LA,NGUYỄN HOÀNG,115 Trương Định,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,506,2023-02-06,,,,,,Ho Chi Minh
507,,NN,,2023-01-18,2023-02-15,,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI VIỆT HƯƠNG,,332D Phan Văn Trị,11,Bình Thạnh,302571183.0,"Chế biến: nem chua, giò chả.",507,2023-02-06,,,,,,Ho Chi Minh
508,,CT,,2023-01-30,2023-02-27,,NHÀ MÁY SẢN XUẤT RƯỢU SÀI GÒN - ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN SẢN XUẤT RƯỢU SÀI GÒN,TRẦN QUANG PHỤNG,"Số 10, Đường số 30",Linh Đông,Thủ Đức,,Sản xuất rượu chưng cất ,508,2023-02-06,,,,,,Ho Chi Minh
509,,YT,,2023-01-17,2023-02-21,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH DỊCH VỤ DI VINA,KIM WANYEOB,"Gian hàng L3-10 và L3-11,Tầng 3, Khu cao ốc Văn phòng – Thương mại – Dịch vụ tổng hợp tại lô 5-5, số 8 – 10 đường Mai Chí Thọ",Thủ Thiêm,Thủ Đức,,Kinh doanh dịch vụ ăn uống,509,2023-02-06,,,,,,Ho Chi Minh
510,,YT,,2023-01-18,2023-02-22,,ĐỊA ĐIỂM KINH DOANH WAYNE'S Q2 - CÔNG TY CỔ PHẦN ARYA CONSUMER,ĐINH NGUYÊN DŨNG,"Tầng 1 - Tầng 2, SH13, Tòa nhà Chung cư Q2 Thao Dien, 21 Đường Võ Trường Toản",Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,510,2023-02-06,,,,,,Ho Chi Minh
511,,YT,,2023-01-18,2023-02-22,,CÔNG TY TNHH EM F&B – CHI NHÁNH THISO MALL,TĂNG BẢO QUYÊN,"Gian hàng L2-12; L2-13; L2-14 và L2-15, Tầng 02, Khu cao ốc văn phòng - thương mại - dich vụ tại lô 5.5, số 8-10 đường Mai Chí Thọ",Thủ Thiêm,Thủ Đức,,Kinh doanh dịch vụ ăn uống,511,2023-02-06,,,,,,Ho Chi Minh
512,,NN,,2023-01-30,2023-02-20,,CÔNG TY TNHH FGW FARM - CHI NHÁNH NHÀ BÈ,,"16 Đặng Nhữ Lâm, Khu phố 6",Thị trấn Nhà Bè,Nhà Bè,,Đóng gói kim chi; Chế biến trứng nướng,512,2023-02-06,,,,,,Ho Chi Minh
513,,YT,,2023-01-18,2023-02-22,,CHI NHÁNH CÔNG TY TNHH NHÀ HÀNG GOLDEN HAWK,ĐINH THỤY THU HIỀN,Số 2 Đặng Hữu Phổ,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,513,2023-02-06,,,,,,Ho Chi Minh
514,,YT,,2023-01-19,2023-01-23,,CÔNG TY TNHH EUROPA GROUP,PHẠM THỊ THÚY HẰNG,39 Nguyễn Duy Hiệu,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,514,2023-02-06,,,,,,Ho Chi Minh
515,,YT,,2023-01-31,2023-02-28,,CÔNG TY TNHH RESTAURANT TINTO,PHẠM THỊ LAN PHƯƠNG,24 Trần Ngọc Diện,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,515,2023-02-06,,,,,,Ho Chi Minh
516,,YT,,2023-01-17,2023-02-21,,CÔNG TY TNHH THÁI THIÊN LÝ - ĐỊA ĐIỂM KINH DOANH VẠN HẠNH MALL,THÁI THIÊN LÝ,"I Gian hàng 6-07C, Tầng 6, Tòa nhà trung tâm Vạn Hạnh, số 11 Sư Vạn Hạnh",12,10,,Kinh doanh dịch vụ ăn uống,516,2023-02-06,,,,,,Ho Chi Minh
517,,YT,,2023-01-19,2023-01-23,,CỬA HÀNG LOTTERIA TẠI COOPMART TUY LÝ VƯƠNG,LEE WOO JU,"Vị trí 01, tầng trệt Coopmart Tuy Lý Vương, 40-54 Tuy Lý Vương",13,8,,Kinh doanh dịch vụ ăn uống,517,2023-02-06,,,,,,Ho Chi Minh
518,,"CT, YT",,2023-01-17,2023-02-21,,CÔNG TY TNHH EASY STOP,TRẦN THỊ HOÀNG DUNG,540-542-544 Sư Vạn Hạnh,10,10,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,518,2023-02-06,,,,,,Ho Chi Minh
519,,NN,,2023-01-16,2023-02-13,,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ SẢN XUẤT CÀ PHÊ ĐẠI NAM,,"4402 Nguyễn Cửu Phú, Khu phố 4",Tân Tạo A,Bình Tân,314669151.0,"Sản xuất cà phê bột, cà phê hòa tan",519,2023-02-06,,,,,,Ho Chi Minh
520,,YT,,2023-01-17,2023-02-21,,CÔNG TY TNHH GYURIM,KIM HYUNSEO,"Lô T32, Tầng 3, Trung tâm thương mại AEONMALL Bình Tân, Số 1 Đường số 17A",Bình Trị Đông B,Bình Tân,,Kinh doanh dịch vụ ăn uống,520,2023-02-06,,,,,,Ho Chi Minh
521,,NN,,2023-01-18,2023-02-15,,CÔNG TY CỔ PHẦN CHẾ BIẾN THỰC PHẨM HOA SEN,,"Lô số 29-31 Khu công nghiệp Tân Tạo, đường Tân Tạo",Tân Tạo A,Bình Tân,304485853.0,"Chế biến: món ăn sẵn; các sản phẩm từ thịt, thủy sản, rau, củ, quả; gia vị tẩm ướp; Sản xuất: các loại bánh từ bột, mỳ sợi;",521,2023-02-06,,,,,,Ho Chi Minh
522,,YT,,2023-01-30,2023-02-27,,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG (TP HÀ NỘI) - NHÀ HÀNG HUTONG,HÀ THÚC TÚ,347-349-351 Nguyễn Trãi,Nguyễn Cư Trinh,1,,Kinh doanh dịch vụ ăn uống,522,2023-02-06,,,,,,Ho Chi Minh
523,,YT,,2023-01-30,2023-02-27,,CÔNG TY TNHH BAO ZI,NGUYỄN KIM NGỌC,79 Hồ Tùng Mậu,Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,523,2023-02-06,,,,,,Ho Chi Minh
524,,YT,,2023-01-17,2023-02-21,,CÔNG TY TNHH THE CAKE CORNER CITYLAND,NGUYỄN MẠNH PHÚC,"50 Đường số 3, Khu dân cư Cityland Park Hills",10,Gò Vấp,,Kinh doanh dịch vụ ăn uống,524,2023-02-06,,,,,,Ho Chi Minh
525,,YT,,2023-01-31,2023-02-28,,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ XUÂN LAN,VŨ KIM ĐỨC,"Khu vực M009, 292 Đinh Bộ Lĩnh",26,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,525,2023-02-06,,,,,,Ho Chi Minh
526,,YT,,2023-01-16,2023-02-20,,ĐỊA ĐIỂM KINH DOANH 195- CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN ,LÊ THÁI ANH,"Lô YFV-L5-F, Tầng 5, Khu Ẩm Thực YUM FOOD VILLAGE, Toà nhà Menas Mall Saigon Airport, 60A Trường Sơn",2,Tân Bình,,Kinh doanh dịch vụ ăn uống,526,2023-02-06,,,,,,Ho Chi Minh
527,,YT,,2023-01-30,2023-02-27,,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG (TP HÀ NỘI) – NHÀ HÀNG KICHI KICHI,HÀ THÚC TÚ,74 - 74A Phan Huy Ích,15,Tân Bình,,Kinh doanh dịch vụ ăn uống,527,2023-02-06,,,,,,Ho Chi Minh
528,,YT,,2023-01-31,2023-02-28,,CÔNG TY TNHH NUTS COFFEE,LÊ VÂN ANH,Số 24 - 26 Lê Vĩnh Hòa,Phú Thọ Hòa,Tân Phú,,Kinh doanh dịch vụ ăn uống,528,2023-02-06,,,,,,Ho Chi Minh
529,,YT,,2023-01-30,2023-02-27,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG HP,PHẠM THỊ MỸ HẰNG,99B Võ Oanh,25,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,529,2023-02-06,,,,,,Ho Chi Minh
530,,YT,,2023-01-16,2023-02-20,,ĐỊA ĐIỂM KINH DOANH WAYNE'S COFFEE THE MANOR - CÔNG TY CỔ PHẦN ARYA CONSUMER,ĐINH NGUYÊN DŨNG,"G-BLK-2B, Tầng trệt, Tòa nhà The Manor Ho Chi Minh, số 91 Nguyễn Hữu Cảnh",22,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,530,2023-02-06,,,,,,Ho Chi Minh
531,,YT,,2023-01-17,2023-02-21,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SUẤT ĂN CÔNG NGHIỆP HUY PHÁT,NGUYỄN ĐỨC HÒA,"D11/55B, Đường Quách Điêu, tổ 2, Ấp 4A",Vĩnh Lộc A,Bình Chánh,,Kinh doanh dịch vụ ăn uống,531,2023-02-06,,,,,,Ho Chi Minh
532,,YT,,2023-01-18,2023-02-22,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH DỊCH VỤ BẾP SÀI GÒN,NGUYỄN THỊ THÚY MỸ,"A6/12, Ấp 2",Qui Đức,Bình Chánh,,Kinh doanh dịch vụ ăn uống,532,2023-02-06,,,,,,Ho Chi Minh
533,,YT,,2023-01-17,2023-02-21,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH DỊCH VỤ BẾP SÀI GÒN,NGUYỄN THỊ THÚY MỸ,"Số 34, đường số 5, Khu dân cư An Phú Tây",An Phú Tây,Bình Chánh,,Kinh doanh dịch vụ ăn uống,533,2023-02-06,,,,,,Ho Chi Minh
534,,NN,,2023-01-18,2023-02-15,,HỘ KINH DOANH KIM HƯƠNG,,9/16 Ấp 4,Tân Quý Tây,Bình Chánh,,"Chế biến: heo quay, vịt quay, gà quay",534,2023-02-06,,,,,,Ho Chi Minh
535,,YT,,2023-01-30,2023-02-27,,CÔNG TY TNHH CÀ PHÊ AN NHIÊN,VÕ TRƯỜNG TÂN,"Số 10, đường số 1, cư xá Đô Thành",4,3,,Kinh doanh dịch vụ ăn uống,535,2023-02-06,,,,,,Ho Chi Minh
536,,NN,,2023-01-18,2023-02-15,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH NÔNG SẢN HOA QUẢ SƠN,,504 Quốc lộ 1A,Tam Bình,Thủ Đức,,"Kinh doanh: rau, củ, quả",536,2023-02-06,,,,,,Ho Chi Minh
537,,YT,,2023-01-18,2023-02-22,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN BÌNH MINH TOÀN CẦU – CỬA HÀNG BREADTALK GIGAMALL,TRẦN UYÊN VY,"L2-02, Tầng L2, Trung tâm Thương mại Gigamall, 240-242 Phạm Văn Đồng",Hiệp Bình Chánh,Thủ Đức,,Kinh doanh dịch vụ ăn uống,537,2023-02-07,,,,,,Ho Chi Minh
538,,"CT, YT",,2023-02-06,2023-02-07,Cấp đổi,CỬA HÀNG SỐ 189 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,304-304A Vườn Lài,Phú Thọ Hòa,Tân Phú,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,538,2023-02-07,44380.0,2020-10-29,,,,Ho Chi Minh
539,,"CT, YT",,2023-02-06,2023-02-07,Cấp đổi,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG SỐ 294 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,264 Độc Lập,Tân Thành,Tân Phú,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,539,2023-02-07,13550.0,2021-03-29,,,,Ho Chi Minh
540,,"CT, YT",,2023-02-06,2023-02-07,Cấp đổi,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG SỐ 298 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,633 Tỉnh Lộ 10,Bình Trị Đông B,Bình Tân,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,540,2023-02-07,18640.0,2021-05-06,,,,Ho Chi Minh
541,,YT,,2023-01-31,2023-02-28,,ĐỊA ĐIỂM KINH DOANH PHÊ LA ĐIỆN BIÊN PHỦ - CÔNG TY CỔ PHẦN PHÊ LA,NGUYỄN HOÀNG,193/1 Điện Biên Phủ,15,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,541,2023-02-07,,,,,,Ho Chi Minh
542,,"CT, YT",,2023-02-06,2023-02-07,Cấp đổi,CỬA HÀNG 93 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,Số 171B Hoàng Hoa Thám,13,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,542,2023-02-07,4470.0,2021-01-28,,,,Ho Chi Minh
543,,"CT, YT",,2023-02-06,2023-02-07,Cấp đổi,CỬA HÀNG SỐ 279 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,36-38 Trần Thái Tông,15,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,543,2023-02-07,16770.0,2020-05-11,,,,Ho Chi Minh
544,,"CT, YT",,2023-01-31,2023-02-28,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN SEVEN SYSTEM VIỆT NAM,VŨ THANH TÚ,"1.16 tại tầng: 1,Tòa nhà chung cư: S8.03 thuộc Khu nhà ở cao tầng- Dự án Khu dân cư và Công viên Phước Thiện tại số 88 đường Phước Thiện, khu phố Phước Thiện",Long Bình,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,544,2023-02-08,,,,,,Ho Chi Minh
545,,"CT, YT",,2023-01-31,2023-02-28,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN SEVEN SYSTEM VIỆT NAM,VŨ THANH TÚ,"1.14 tại tầng: 1,Tòa nhà chung cư: S9.02 thuộc Khu nhà ở cao tầng- Dự án Khu dân cư và Công viên Phước Thiện tại số 88 đường Phước Thiện, khu phố Phước Thiện",Long Bình,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,545,2023-02-08,,,,,,Ho Chi Minh
546,,YT,,2023-02-01,2023-03-01,,ĐỊA ĐIỂM KINH DOANH SỐ 2 – CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRAINCO,NGUYỄN THỊ NGA,"Khu chế biến, Trung tâm Quản lý KTX Đại học Quốc Gia, Khu B, Khu phố Tân Hòa",Đông Hòa,"Thành phố Dĩ An, Bình Dương",,Kinh doanh dịch vụ ăn uống,546,2023-02-08,,,,,,Ho Chi Minh
547,,CT,,2023-02-02,2023-03-02,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH SỐ 282,NÔNG VĂN DŨNG,"Số 30 Đường số 3, Khu phố 4",An Khánh,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục,547,2023-02-08,,,,,,Ho Chi Minh
548,,YT,,2023-02-01,2023-03-01,,CÔNG TY TNHH LOOP 1,NGUYỄN THÀNH ON,"Tầng 2, 37-39 Lý Tự Trọng",Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,548,2023-02-08,,,,,,Ho Chi Minh
549,,YT,,2023-02-02,2023-03-02,,KHÁCH SẠN TRIPLE E,BÙI NGUYỄN THUẬN,81 Nguyễn Thái Bình,Nguyễn Thái Bình,1,,Kinh doanh dịch vụ ăn uống,549,2023-02-08,,,,,,Ho Chi Minh
550,,YT,,2023-02-02,2023-03-02,,ĐỊA ĐIỂM KINH DOANH 3 - CÔNG TY CỔ PHẦN ZUMSTART,LÊ TRẦN ANH VINH,Số 219 Nguyễn Trãi,Nguyễn Cư Trinh,1,,Kinh doanh dịch vụ ăn uống,550,2023-02-08,,,,,,Ho Chi Minh
551,,YT,4042226964.0,2023-01-27,2023-02-23,,CỬA HÀNG WAYNE'S COFFEE - 37 TĐT,ĐINH NGUYÊN DŨNG,"Phòng G1 Tầng trệt, cao ốc Saigon Trade Center, Số 37 Tôn Đức Thắng",Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,551,2023-02-08,,,,,,Ho Chi Minh
552,,YT,4042227092.0,2023-02-01,2023-03-01,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH CUNG ỨNG PASSION,ĐINH THỊ PHƯỢNG,644 Nguyễn Thị Định,Thạnh Mỹ Lợi,Thủ Đức,,Kinh doanh dịch vụ ăn uống,552,2023-02-08,,,,,,Ho Chi Minh
553,,YT,4042226980.0,2023-02-06,2023-03-06,,ĐỊA ĐIỂM KINH DOANH SỐ 2 - CÔNG TY CỔ PHẦN CUỘC SỐNG BẠCH KIM,HỒ VĂN HUY CƯỜNG,1-3 đường N1,Cát Lái,Thủ Đức,,Kinh doanh dịch vụ ăn uống,553,2023-02-08,,,,,,Ho Chi Minh
554,,YT,4042227218.0,2023-02-03,2023-03-03,,ĐỊA ĐIỂM KINH DOANH THISO MALL - CÔNG TY TNHH PARIS BAGUETTE VIỆT NAM,HANA MARDHYAH LEE,"L1-03 Tầng 1, Khu cao ốc Văn Phòng - Thương mại - Dịch vụ tổng hợp 5-5, Số 8 - 10 Mai Chí Thọ",Thủ Thiêm,Thủ Đức,,Kinh doanh dịch vụ ăn uống,554,2023-02-08,,,,,,Ho Chi Minh
555,,YT,,2023-01-31,2023-02-28,,ĐỊA ĐIỂM KINH DOANH CAFÉ KATINAT THISO MALL - CÔNG TY CỔ PHẦN CAFÉ KATINAT,ĐINH VIỆT HÀ,"Gian hàng L1-15, Tầng 1, Khu cao ốc Văn Phòng - Thương mại - Dịch vụ tổng hợp 5-5, Số 8 - 10 Mai Chí Thọ",Thủ Thiêm,Thủ Đức,,Kinh doanh dịch vụ ăn uống,555,2023-02-08,,,,,,Ho Chi Minh
556,,"CT, NN, YT",,2023-02-08,2023-02-09,Cấp đổi,CHI NHÁNH TỔNG CÔNG TY THƯƠNG MẠI SÀI GÒN - TNHH MỘT THÀNH VIÊN - TRUNG TÂM THƯƠNG MẠI SATRA ĐƯỜNG PHAM HÙNG,BÙI NHẬT NAM,C6/27 Phạm Hùng,Bình Hưng,Bình Chánh,,Bán lẻ nhóm sản phẩm theo danh mục,556,2023-02-09,32190.0,2022-06-27,,,,Ho Chi Minh
557,,YT,,2023-01-18,2023-02-22,,QUẦY STAR CAFE E2 - CÔNG TY TNHH AUTOGRILL VFS F&B,TRƯƠNG THANH TÙNG,"Vị trí IDG07, Khu cách ly ga đi Quốc Tế tầng 1, Sân Bay Quốc Tế Tân Sơn Nhất, đường Trường Sơn",2,Tân Bình,,Kinh doanh dịch vụ ăn uống,557,2023-02-09,,,,,,Ho Chi Minh
558,,YT,,2023-02-01,2023-03-01,,ĐỊA ĐIỂM KINH DOANH SẢN XUẤT - CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ VẬN TẢI THIÊN PHÚ,NGÔ THANH THẢO,"30 Đường Kênh Nước Đen, Khu Phố 5",Bình Hưng Hòa A,Bình Tân,,Sản xuất nước đá dùng liền,558,2023-02-09,,,,,,Ho Chi Minh
559,,NN,,2023-02-02,2023-02-23,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TÂM THÀNH PHÁT,,34/47 Đường số 15,Bình Hưng Hòa,Bình Tân,,Kinh doanh thủy sản,559,2023-02-09,,,,,,Ho Chi Minh
560,,YT,4042227256.0,2023-02-03,2023-03-03,,ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,,Số 121 Lê Đức Thọ,17,Gò Vấp,,Kinh doanh dịch vụ ăn uống,560,2023-02-09,,,,,,Ho Chi Minh
561,,YT,,2023-02-03,2023-03-03,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH GOLDEN TRUST - CỬA HÀNG GONG CHA NGUYỄN SƠN,NGUYỄN HOÀI PHƯƠNG,"số 7, đường Nguyễn Sơn",Phú Thạnh,Tân Phú,,Kinh doanh dịch vụ ăn uống,561,2023-02-09,,,,,,Ho Chi Minh
562,,YT,,2023-02-03,2023-03-03,,CÔNG TY TNHH JEONG BBQ,DƯƠNG THỊ THÙY DUNG,Số 691 Cách Mạng Tháng Tám,6,Tân Bình,,Kinh doanh dịch vụ ăn uống,562,2023-02-09,,,,,,Ho Chi Minh
563,,NN,,2023-02-03,2023-02-24,,ĐỊA ĐIỂM KINH DOANH LUỸ BÁN BÍCH -DOANH NGHIỆP TƯ NHÂN HỒ THỦY,,8/2 - 8/8 Luỹ Bán Bích,Tân Thói Hòa,Tân Phú,,"Sơ chế, đóng gói: rau, củ, quả, thịt, thủy sản; Kinh doanh dịch vụ ăn uống",563,2023-02-10,,,,,,Ho Chi Minh
564,,YT,,2023-02-02,2023-03-03,,CÔNG TY TNHH TRUYỀN THÔNG & GIẢI TRÍ REC - CHI NHÁNH SỐ 1,NGUYỄN THỊ KHÁNH LINH,"Lầu 1, Số 18 Nguyễn Lâm",6,10,,Kinh doanh dịch vụ ăn uống,564,2023-02-10,,,,,,Ho Chi Minh
565,,YT,,2023-02-03,2023-03-03,,ĐỊA ĐIỂM KINH DOANH BUFFET LẨU LOK LOK-CÔNG TY TNHH PING SHENG FENG (PING GROUP).,TRẦN TIỂU LIÊN,Số 6 lô A1 cư xá 155 Tô Hiến Thành,13,10,,Kinh doanh dịch vụ ăn uống,565,2023-02-10,,,,,,Ho Chi Minh
566,,"CT, NN",,2023-02-01,2023-03-01,,SIÊU THỊ MM MEGA MARKET HIỆP PHÚ,LÊ THỊ MINH TÂM,"Số 2 đường Trương Thị Hoa, Khu phố 4A",Tân Thới Hiệp,12,,"Bán lẻ nhóm sản phẩm theo danh mục; Chế biến thịt; Sơ chế, đóng gói: thủy sản, rau, củ, quả, thịt; Sản xuất các loại bánh từ bột (trừ bánh kem, bánh trung thu)",566,2023-02-10,,,,,,Ho Chi Minh
567,,NN,,2023-02-01,2023-02-22,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TƯ VẤN HDD,,299/2/57 Lý Thường Kiệt,15,11,314311486.0,"Sơ chế, đóng gói thịt gia súc đông lạnh; đóng gói thủy sản",567,2023-02-10,,,,,,Ho Chi Minh
568,,NN,,2023-02-03,2023-02-24,,HỘ KINH DOANH ĐÀO VĂN TÁM ,,86/58 Ông Ích Khiêm,14,11,,Chế biến bò viên,568,2023-02-10,,,,,,Ho Chi Minh
569,,"CT, YT",,2023-02-03,2023-03-03,,CÔNG TY TNHH PHAN THÀNH AKURUHI,NGUYỄN PHƯƠNG UYÊN,124 Trần Quang Khải,Tân Định,1,,Kinh doanh dịch vụ ăn uống,569,2023-02-10,,,,,,Ho Chi Minh
570,,YT,,2023-02-03,2023-03-03,,CÔNG TY TNHH UMAMI,NGUYỄN HUỲNH ĐĂNG KHOA,106 Lê Lai,Bến Thành,1,,Kinh doanh dịch vụ ăn uống,570,2023-02-10,,,,,,Ho Chi Minh
571,,NN,,2023-02-02,2023-03-02,,CỬA HÀNG ORGA MART,,"F24, Ấp Mỹ Hòa 4",Xuân Thới Đông,Hóc Môn,,"Kinh doanh: rau, củ, quả",571,2023-02-10,,,,,,Ho Chi Minh
572,,NN,,2023-02-06,2023-02-27,,CÔNG TY TNHH THỰC PHẨM TRƯỜNG FOODS,,1/20b Ấp Hưng Lân,Bà Điểm,Hóc Môn,317561822.0,"Kinh doanh: rau, củ, quả",572,2023-02-10,,,,,,Ho Chi Minh
573,,YT,4042227207.0,2023-02-08,2023-03-08,,CÔNG TY TNHH NHÀ HÀNG CỔ THỤ QUÁN,,"545 Nguyễn Xiển, khu phố Gò Công",Long Thạnh Mỹ,Thủ Đức,,Kinh doanh dịch vụ ăn uống,573,2023-02-10,,,,,,Ho Chi Minh
574,,YT,4042227115.0,2023-02-03,2023-03-03,,ĐỊA ĐIỂM KINH DOANH PHÚC LONG HCM 436 - KS - CÔNG TY CỔ PHẦN PHÚC LONG HERITAGE ,PHẠM THỊ THU HƯƠNG,"Lô 1.06-1.07-1.08, Tầng 1, Kingstone Residence, Số 146 Nguyễn Văn Trỗi và số 223-223B Hoàng Văn Thụ",8,Phú Nhuận,,Kinh doanh dịch vụ ăn uống,574,2023-02-13,,,,,,Ho Chi Minh
575,,YT,,2023-02-02,2023-03-02,,CÔNG TY CỔ PHẦN GIẢI PHÁP MUA HÀNG ƯU VIỆT TPS,NGUYỄN MINH TÚ,"24 Đường Cao Triều Phát, khu Hưng Gia 3, Khu phố 6",Tân Phong,7,,Kinh doanh dịch vụ ăn uống,575,2023-02-13,,,,,,Ho Chi Minh
576,,YT,,2023-02-02,2023-03-02,,ĐỊA ĐIỂM KINH DOANH 62 CÔNG TY CỔ PHẦN PIZZA NGON - NHÀ HÀNG THE PIZZA COMPANY,LÊ ĐÌNH HỘI,"Số 101 Đường Nguyễn Đức Cảnh, Khu phố Parkview-H19-2",Tân Phong,7,,Kinh doanh dịch vụ ăn uống,576,2023-02-13,,,,,,Ho Chi Minh
577,,"CT, YT",,2023-02-03,2023-03-03,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH PHAN THÀNH AKURUHI,NGUYỄN PHƯƠNG UYÊN,"108-110 Khu Nam Long 1, đường Hà Huy Tập",Tân Phong,7,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,577,2023-02-13,,,,,,Ho Chi Minh
